Hidden Layers: [16, 16] | Batch Size: 100 | Learning Rate: 0.001 | Epoch: 1 | Time Taken (in s): 8.38865041732788 

Hidden Layers: [16, 16] | Batch Size: 100 | Learning Rate: 0.001 | Epoch: 1 | Time Taken (in s): 8.30597186088562 

Hidden Layers: [16, 16] | Batch Size: 100 | Learning Rate: 0.001 | Epoch: 2 | Time Taken (in s): 11.23858118057251 

Hidden Layers: [16, 16] | Batch Size: 100 | Learning Rate: 0.001 | Epoch: 2 | Time Taken (in s): 11.301960229873657 

Hidden Layers: [16, 16] | Batch Size: 100 | Learning Rate: 0.001 | Epoch: 1 | Time Taken (in s): 8.569560766220093 

Hidden Layers: [16, 16] | Batch Size: 100 | Learning Rate: 0.001 | Epoch: 1 | Time Taken (in s): 8.503247499465942 

Hidden Layers: [16, 16] | Batch Size: 100 | Learning Rate: 0.001 | Epoch: 1 | Time Taken (in s): 8.623104333877563 

Hidden Layers: [16, 16] | Batch Size: 100 | Learning Rate: 0.001 | Epoch: 1 | Time Taken (in s): 8.442041873931885 

Hidden Layers: [16, 16] | Batch Size: 100 | Learning Rate: 0.001 | Epoch: 1 | Time Taken (in s): 8.91967248916626 

Hidden Layers: [16, 16] | Batch Size: 100 | Learning Rate: 0.001 | Epoch: 1 | Time Taken (in s): 8.504313230514526 

Hidden Layers: [16, 16] | Batch Size: 100 | Learning Rate: 0.001 | Epoch: 1 | Time Taken (in s): 8.815340518951416 

Hidden Layers: [96] | Batch Size: 1 | Learning Rate: 0.1 | Epoch: 1 | Time Taken (in s): 27.477136611938477 
 
Hidden Layers: [96] | Batch Size: 1 | Learning Rate: 0.1 | Epoch: 3 | Time Taken (in s): 46.447813272476196 
 
Hidden Layers: [96] | Batch Size: 1 | Learning Rate: 0.1 | Epoch: 3 | Time Taken (in s): 47.66832780838013 
 
Hidden Layers: [96] | Batch Size: 1 | Learning Rate: 100 | Epoch: 3 | Time Taken (in s): 46.959728479385376 
 
Hidden Layers: [96] | Batch Size: 1 | Learning Rate: 0.1 | Epoch: 3 | Time Taken (in s): 46.278854846954346 


